name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield
Ramco Systems|688.15|51.30|2,061.75|8.27|9.21|0.00|2,068.69|373.47|184.23|3.33|52.81|2.49
Shilpi Cable|186.30|301.88|2,348.10|34.33|31.61|0.87|2,061.08|95.99|794.23|3.02|12.61|12.86

8K Miles|1,884.30|87.36|2,038.07|32.63|79.45|0.00|2,052.78|52.25|30.62|13.55|39.71|4.29
JK Tyre & Indust|90.15|819.26|4,578.76|19.84|26.77|2.39|2,044.72|2,273.64|625.91|1.37|4.98|17.89
Igarashi Motors|665.65|102.37|1,971.66|31.40|30.25|0.15|2,037.45|121.06|153.29|6.92|32.02|5.19
Nirlon|223.45|141.21|2,719.34|5.13|6.43|2.92|2,013.73|2,395.30|-136.73|6.98|50.94|5.19
Pun. & Sind Bank|50.25|7,066.95|NaN|82.46|77.53|18.56|2,012.07|994.83|7,364.64|0.40|5.99|NaN
Apar Inds.|521.95|364.25|2,281.38|33.41|33.27|0.47|2,009.34|372.63|558.36|2.63|17.68|15.97
BF Utilities|532.60|351.87|3,851.08|23.74|23.61|-8.13|2,005.77|1,323.57|163.09|NaN|34.47|9.14
Hindustan Media|272.05|255.97|2,055.40|63.26|84.41|0.13|1,996.57|169.35|51.19|2.17|11.06|12.45
Lak. Vilas Bank|110.80|2,153.22|26,773.79|110.77|106.96|16.43|1,988.43|243.41|1,361.42|1.25|11.03|8.04
Texmaco Rail|94.20|38.82|2,083.73|1.30|1.79|0.12|1,981.23|160.09|173.30|2.18|91.72|1.86
Eros Intl.Media|210.85|337.46|2,430.47|39.61|38.70|0.33|1,973.48|1,040.83|-396.02|1.16|9.22|13.88

Polaris Consulta|192.55|219.63|1,691.08|30.42|27.97|0.00|1,955.14|234.68|485.47|2.03|14.45|12.99
GHCL|195.45|540.05|3,161.90|25.20|24.29|1.27|1,954.89|1,932.35|116.00|1.98|7.27|17.08
Eveready Inds.|268.80|97.99|2,139.09|11.37|11.26|0.28|1,953.64|696.36|103.50|2.96|38.57|4.58
Mahindra Life.|470.05|198.35|3,589.14|5.12|4.71|1.15|1,928.79|353.53|2,771.62|1.23|20.72|5.53
