name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield
Sanghvi Movers|277.10|236.01|1,505.96|5.74|24.02|0.51|1,199.84|1,004.83|58.28|1.56|10.26|15.67
Deepak Nitrite|102.90|128.77|1,687.93|16.13|16.01|1.04|1,196.61|548.72|197.81|2.52|18.37|7.63
Genus Power|46.30|126.76|1,523.60|16.69|19.48|0.74|1,189.02|99.34|446.62|2.10|15.53|8.32

Kama Hold.|1,831.90|548.81|3,543.72|11.21|10.68|1.83|1,181.58|3,575.31|545.90|0.87|4.14|15.49
Sagar Cements|674.55|100.89|1,197.99|7.08|11.25|0.42|1,173.04|335.11|309.87|2.05|23.58|8.42
Majesco|505.95|8.36|NaN|NaN|NaN|NaN|1,172.84|NaN|NaN|NaN|166.83|NaN
Rain Industries|34.85|816.60|8,016.07|8.72|6.29|2.59|1,172.18|8,711.79|2,208.93|0.41|7.79|10.19
Bodal Chemicals|107.10|144.06|1,376.06|40.43|33.75|1.30|1,168.46|168.28|178.14|4.72|14.35|10.47
Merck|699.05|86.27|1,151.24|12.59|12.46|0.00|1,160.42|109.71|369.95|1.92|20.65|7.49
Zee Media|24.35|40.87|1,432.09|2.79|2.66|0.67|1,146.37|629.58|292.13|2.13|NaN|2.85
INEOS Styrolut.|644.85|68.45|1,279.19|11.80|10.08|0.33|1,134.29|216.55|410.47|2.19|18.07|5.35
Hinduja Foundrie|54.60|-197.91|1,579.72|-39.09|-32.35|-1.44|1,130.52|664.68|153.80|NaN|NaN|-12.53
Empire Inds.|1,877.85|56.34|1,189.85|17.55|14.05|0.93|1,126.71|135.36|148.65|7.52|36.76|4.74
Puravankar.Proj.|47.25|353.41|2,701.79|13.00|11.39|0.79|1,120.49|92.11|2,811.70|0.48|16.77|13.08
Sutlej Textiles|681.70|222.55|1,712.04|16.23|18.57|1.07|1,116.62|507.07|388.62|1.59|7.62|13.00

Ramco Inds.|128.30|97.01|1,411.31|7.15|8.01|0.46|1,112.36|406.66|346.92|1.42|6.68|6.87
Kirl. Brothers|139.95|18.57|1,416.16|-0.97|-0.98|0.38|1,111.33|570.96|635.03|1.15|NaN|1.31
Srikalahas. Pip.|279.45|256.73|1,484.32|22.44|33.04|1.46|1,111.09|435.45|237.18|2.46|7.00|17.30
NRB Bearings|114.65|78.30|1,393.27|17.39|13.63|1.14|1,110.96|202.58|320.68|3.50|23.38|5.62
Titagarh Wagons|95.80|7.91|1,185.45|-1.75|-3.12|0.22|1,105.38|323.49|390.14|1.99|NaN|0.67
EIH Assoc.Hotels|361.95|59.40|1,134.85|20.98|22.11|0.15|1,102.86|263.10|4.82|4.61|28.74|5.23
Orient Refrac.|91.65|84.68|1,084.33|47.30|45.62|0.03|1,100.72|30.45|138.74|4.88|19.72|7.81
GVK Power Infra.|6.95|776.97|NaN|0.92|5.55|12.83|1,097.54|11,865.81|202.31|1.09|NaN|NaN
Mirza Internatio|91.15|147.70|1,308.53|22.80|27.36|0.70|1,096.59|307.84|226.58|2.81|14.04|11.29
Bliss GVS Pharma|106.30|113.31|1,179.40|26.75|26.67|0.24|1,095.95|53.53|256.86|2.53|16.70|9.61
Kaya Ltd|842.50|8.87|NaN|0.70|-2.38|0.00|1,090.15|112.15|0.18|4.34|123.88|NaN

Future Enterp.|23.45|565.10|5,767.11|7.86|6.67|0.91|1,087.77|4,340.25|3,059.86|0.21|21.27|9.80
Man Infra|43.90|63.90|NaN|2.46|5.36|0.25|1,086.53|58.06|478.41|1.67|81.93|NaN
Sangam India|274.70|174.39|1,695.77|13.88|16.25|1.66|1,082.87|537.61|402.46|2.41|14.01|10.28
Morepen Labs.|24.05|26.04|1,154.04|2.91|9.85|0.42|1,081.89|289.47|8.49|5.17|53.64|2.26
JMT Auto|42.75|26.66|1,239.75|11.15|8.19|1.02|1,076.94|210.82|108.21|6.46|183.48|2.15
Banco Products|150.60|122.68|NaN|10.46|18.12|0.06|1,076.79|243.37|389.38|1.52|11.98|NaN
Rolta India|65.95|628.56|5,715.50|10.26|8.28|4.06|1,074.27|5,396.30|1,754.43|0.74|5.68|11.00
Goldline Intl.|205.00|0.51|1,067.95|1.19|1.02|0.01|1,067.98|0.12|49.15|20.16|3,050.60|0.05
Astra Microwave|123.10|80.14|1,069.86|18.19|15.51|0.17|1,066.19|139.21|327.22|2.68|18.93|7.49
SQS India BFSI|997.95|56.50|978.92|45.97|45.65|0.00|1,064.29|24.30|83.43|9.78|28.84|5.77
RSWM Ltd|456.90|270.24|2,346.86|14.28|17.41|2.99|1,057.72|932.72|462.90|1.96|9.99|11.51

Xchanging Sol.|94.60|55.13|947.14|8.52|1.21|0.00|1,053.84|166.09|132.94|3.16|26.56|5.82
Time Technoplast|49.95|270.79|1,784.68|13.75|13.43|0.78|1,049.45|1,144.78|702.03|0.90|8.84|15.17
Atul Auto|476.35|72.30|1,019.46|51.86|62.95|0.00|1,045.26|52.70|33.32|6.21|22.06|7.09
Media Matrix|9.07|-20.67|1,077.23|-31.62|-24.71|1.19|1,027.36|75.13|34.92|52.76|NaN|-1.92
Jindal Stain .Hi|43.85|459.56|1,867.18|90.44|45.22|1.55|1,013.75|0.00|-1,653.11|1.80|522.65|24.61
Alembic|37.65|25.31|1,003.03|-0.43|-0.45|0.00|1,005.37|169.02|73.24|3.47|36.05|2.52
Kolte Patil Dev.|132.60|187.28|1,345.51|16.48|13.56|0.45|1,004.71|112.08|1,153.80|1.12|17.01|13.92
Pilani Invest.|1,265.75|4.16|996.69|99.81|8.85|0.00|1,001.05|0.04|46.86|1.16|281.20|0.42
Parsvnath Devl.|23.00|80.00|2,355.02|-6.52|1.54|0.56|1,000.91|116.90|2,498.10|0.39|211.98|3.40
Siyaram Silk|1,065.50|163.26|1,303.73|18.28|19.23|0.71|998.37|349.46|428.11|1.91|11.40|12.52
Welspun Enterp|57.05|50.98|757.89|-22.23|-0.20|0.30|992.90|534.91|161.44|0.66|NaN|6.73

Bombay Dyeing|48.00|197.40|2,659.17|11.68|8.06|3.64|991.37|857.75|1,122.05|2.55|75.16|7.42
Insecticid.India|478.95|75.76|1,304.93|19.50|13.41|1.10|989.88|170.08|356.01|2.99|25.19|5.81
Ballarpur Inds.|15.10|235.83|6,660.38|2.61|2.41|2.93|989.81|8,258.70|884.85|0.55|NaN|3.54
Zee Learn|30.80|35.14|1,096.43|31.61|-6,134.00|0.49|987.31|14.45|-9.93|3.89|51.61|3.20
Mercator|40.30|-844.82|3,567.32|-21.44|-31.58|3.13|986.95|4,983.64|-35.57|1.16|NaN|-23.68
Sona Koyo Steer.|49.00|111.19|1,246.51|13.92|13.24|0.88|973.63|584.15|119.35|2.80|26.29|8.92
Kiri Indus.|348.60|74.56|1,740.33|7.86|10.12|6.96|970.64|263.20|344.96|8.10|221.60|4.28
Amtek Auto|42.90|945.99|NaN|3.51|4.44|2.29|964.20|18,718.98|2,844.69|0.16|NaN|NaN
Oricon Enter.|61.30|76.45|1,309.15|5.91|3.77|0.58|962.70|536.70|248.89|1.48|50.43|5.84
Shanthi Gears|117.15|23.46|955.92|6.46|6.88|0.00|957.12|81.65|142.32|3.37|52.47|2.45
Esab India|620.30|41.09|927.53|20.23|18.49|0.00|954.64|83.04|100.90|3.03|30.99|4.43

Indiabulls Vent.|32.55|225.21|2,082.03|18.68|10.03|5.30|953.29|34.15|1,250.59|2.43|12.91|10.82
Vaibhav Global|292.40|51.62|1,008.50|8.23|9.58|0.30|951.00|75.86|331.16|2.59|23.88|5.12
Bhushan Steel|41.95|1,008.45|39,942.04|3.47|2.30|5.04|950.23|21,872.26|6,352.82|0.19|NaN|2.52
Shemaroo Entert.|348.95|108.94|1,083.40|21.77|24.75|0.43|948.52|34.11|402.20|2.52|17.11|10.06
Prabhat Dairy|97.10|80.79|NaN|16.94|16.07|1.13|948.44|262.72|201.02|2.61|38.67|NaN
Camlin Fine|91.90|74.46|NaN|26.76|24.36|1.19|948.27|83.15|181.77|5.56|24.51|NaN
Kingfa Science|935.70|24.59|1,021.14|4.29|28.95|9.23|946.05|24.25|56.97|49.87|87.60|2.41
Tata Sponge Iron|613.55|47.11|694.81|2.72|2.99|0.00|944.87|147.60|152.19|1.17|30.65|6.78
Jaybharat Text|24.65|-14.47|1,494.76|-43.45|-4.44|-2.56|943.69|234.94|108.49|NaN|NaN|-0.97
KEI Inds.|121.75|222.30|1,388.18|22.05|29.04|1.49|940.37|314.08|449.08|2.57|15.12|16.01
Shreyas Shipping|426.45|59.09|1,078.05|19.37|17.82|0.71|936.48|174.21|62.54|4.13|19.24|5.48

Guj. Ambuja Exp|67.45|132.63|1,237.27|10.35|12.42|0.37|933.17|479.34|446.06|1.00|9.01|10.72
Sri Adhik. Bros.|265.15|39.72|1,127.14|15.40|12.63|1.03|926.55|155.96|70.84|4.56|107.74|3.52
Kirl. Ferrous|67.45|109.05|1,028.36|19.10|18.57|0.22|926.14|541.86|24.84|1.88|16.04|10.60
Monte Carlo Fas.|424.15|106.34|1,049.66|20.40|18.55|0.31|921.77|167.30|317.15|1.95|15.64|10.13
Geojit BNP|39.20|63.00|857.81|19.03|10.85|0.00|921.44|95.33|243.52|1.88|24.50|7.34
Automotive Axles|608.25|56.89|978.15|5.75|16.13|0.21|919.07|166.31|166.18|2.73|26.43|5.82
Maithan Alloys|314.90|87.95|1,119.16|16.91|16.82|0.66|916.72|293.42|214.33|2.84|16.62|7.86
Garware-Wall Rop|418.60|95.76|945.13|20.85|28.81|0.13|915.98|152.69|154.59|2.46|14.80|10.13
Pricol|96.50|69.47|963.12|14.00|25.71|0.17|914.79|172.22|69.05|3.06|18.67|7.21
Stampede Cap.|39.90|67.00|908.14|33.16|92.41|0.04|913.75|11.47|30.83|6.57|13.67|7.38
Polyplex Corpn|285.70|112.25|1,494.01|0.48|1.79|0.78|913.67|2,498.29|1,820.37|0.42|9.82|7.51

ITI|31.70|408.35|1,864.13|-20.23|-9.28|-0.57|912.96|2,452.86|-390.54|NaN|6.58|21.91
Savita Oil Tech|620.95|66.88|955.02|4.55|10.10|0.11|906.59|286.81|313.50|1.51|26.42|7.00
Indian Hume Pipe|370.85|90.13|1,208.71|14.51|14.16|1.04|897.46|74.72|542.67|2.93|30.83|7.46
52 Weeks Enter.|256.50|1.10|907.25|-120.83|-102.86|0.79|894.67|0.00|0.70|52.85|903.81|0.12
Nitin Fire Prot.|30.60|153.65|1,338.70|12.47|15.47|1.15|894.35|176.25|707.38|1.67|9.07|11.48
HBL Power System|35.20|85.42|1,567.59|6.50|6.19|1.16|890.56|474.13|741.00|1.47|39.09|5.45
Foseco India|1,392.55|50.78|877.33|45.93|47.14|0.03|889.84|26.11|76.58|7.58|26.71|5.79
Sical Logistics|159.55|74.93|1,698.55|5.32|7.99|1.93|887.10|534.48|185.09|1.94|63.27|4.41
HCL Infosystems|39.60|-111.73|1,829.90|-9.48|-17.32|0.70|882.76|89.29|1,464.98|0.72|21.45|-6.11
BGR Energy Sys.|122.00|297.45|2,707.20|8.60|8.79|1.58|880.35|194.41|3,138.95|0.64|22.40|10.99
Neuland Labs.|984.70|65.74|1,062.18|17.29|21.45|1.18|874.73|130.85|160.66|4.72|33.12|6.19

Rane Holdings|610.85|154.21|1,317.86|11.05|10.02|0.86|872.29|744.72|244.52|1.43|6.41|11.70
NOCIL|54.10|127.46|890.30|27.19|29.07|0.06|869.87|293.23|138.22|1.86|11.19|14.32
Lloyd Electric|239.30|184.45|1,526.68|15.40|13.74|1.00|866.39|324.76|1,023.59|1.12|9.50|12.08
Centrum Capital|20.70|110.54|966.62|24.50|20.61|0.90|861.12|104.46|455.63|3.07|18.86|11.44
Tinplate Co.|82.25|119.17|857.27|15.91|15.86|0.00|860.91|680.31|-39.74|1.44|12.58|13.90
Hotel Leela Ven.|18.45|-99.12|5,869.47|-5.39|-5.84|-19.02|860.89|5,533.12|-171.25|NaN|NaN|-1.69
Tata Metaliks|340.25|97.95|1,130.46|40.42|35.76|2.21|860.49|200.13|84.17|7.05|17.00|8.66
Hinduja Ventures|417.35|57.10|1,858.12|2.42|2.35|1.38|857.88|603.51|761.58|1.12|63.74|3.07
Balaji Amines|263.25|113.26|1,003.65|26.27|27.80|0.55|852.93|321.08|76.92|2.92|13.92|11.28
PTL Enterprises|128.45|64.36|940.87|19.05|19.12|1.35|850.34|323.27|-11.44|9.98|25.39|6.84
V-Mart Retail|470.60|44.97|878.15|31.00|21.11|0.15|850.22|69.96|105.55|3.66|31.81|5.12

TajGVK Hotels|135.45|46.68|1,119.39|12.09|12.05|0.77|849.27|407.64|-68.14|2.41|100.86|4.17
GOCL Corpn.|170.55|115.60|2,173.09|1.86|2.08|4.01|845.46|1,029.98|164.38|2.53|24.88|5.32
IOL Chemicals|150.25|22.91|1,231.98|-3.10|3.81|1.99|844.49|410.60|197.93|5.11|NaN|1.86
JK Paper|56.75|313.52|2,914.41|5.07|10.94|2.70|842.91|2,468.40|434.94|0.99|10.59|10.76
Hinduja Global|399.60|196.04|1,278.58|11.97|11.32|0.60|828.33|1,088.43|757.12|0.70|8.20|15.33
Ricoh India|208.05|32.83|1,471.23|19.12|1.86|4.16|827.41|69.40|770.51|38.27|24.97|2.23
Kokuyo Camlin|82.40|18.02|885.20|4.41|4.36|0.45|826.50|107.05|185.05|3.79|157.13|2.04
JMC Projects|246.10|163.31|1,481.88|15.39|17.14|1.40|826.43|274.84|597.62|1.60|20.15|11.02
Power Mech Proj.|561.15|146.73|NaN|29.05|28.56|0.73|825.49|173.21|315.91|1.93|11.11|NaN
TD Power Sys.|248.00|21.75|689.62|2.39|0.56|0.12|824.35|216.30|220.28|1.63|55.03|3.15
Ushdev Intl.|243.00|333.98|3,137.93|12.06|8.22|2.92|822.56|124.74|2,973.67|0.90|15.77|10.64
Technocraf.Inds.|260.15|127.34|964.89|19.09|21.49|0.27|820.25|103.66|407.01|1.23|10.07|13.20

Mangalam Cement|306.20|11.77|1,197.97|7.11|0.81|0.79|817.25|515.01|126.80|1.66|40.50|0.98
Shriram EPC|24.65|-25.33|2,901.09|-10.87|-11.30|-8.91|814.99|43.26|713.88|NaN|NaN|-0.87
Kalyani Steels|186.25|186.22|1,026.91|21.76|26.67|0.46|813.17|339.05|245.04|1.38|7.16|18.13
Orient Green|10.90|-65.47|NaN|1.22|-2.80|2.61|806.38|2,920.43|-14.52|1.65|NaN|NaN
Sunstar Realty|34.10|0.97|807.43|9.17|7.18|0.05|805.44|0.00|13.22|18.30|1,200.70|0.12
Arcotech Ltd|381.15|86.46|1,003.90|25.25|23.64|1.22|800.42|87.48|264.69|3.94|21.95|8.61
Panacea Biotec|130.60|115.71|1,800.56|0.17|3.81|8.95|799.93|1,085.95|2.79|7.01|NaN|6.43
G M Breweries|546.20|85.77|764.61|108.07|88.44|0.00|798.66|85.93|10.67|4.13|15.13|11.22
Nectar Lifesci.|35.60|195.08|1,689.90|11.62|11.17|0.97|798.51|947.54|762.04|0.78|13.47|11.54
Infinite Comp|205.10|159.27|667.17|18.48|17.90|0.07|793.87|324.27|507.69|0.87|6.57|23.87
L G Balakrishnan|505.05|86.85|938.00|18.77|17.36|0.37|792.74|273.64|146.60|2.00|13.80|9.26

Hind.Natl.Glass|90.70|66.94|3,484.91|-1.36|2.17|6.36|792.26|2,504.88|501.78|3.44|NaN|1.92
Volt.Transform.|781.20|59.72|787.70|5.73|13.62|0.00|790.57|47.07|189.63|1.63|17.98|7.58
Dhampur Sugar|118.55|196.06|2,389.01|5.11|8.01|4.29|787.02|1,085.95|768.07|1.93|35.47|8.21
Kellton Tech|165.65|60.35|NaN|23.52|34.70|1.26|778.55|53.56|62.77|8.09|19.68|NaN
SMS Pharma.|91.65|73.38|940.51|19.40|19.44|0.66|775.84|246.61|86.31|2.62|18.63|7.80
Ruchi Soya Inds.|22.90|-339.82|4,351.28|8.49|-7.43|1.66|765.09|2,496.16|3,156.66|0.58|80.72|-7.81
L T Foods|286.25|267.35|2,437.04|10.82|12.47|3.66|763.23|349.69|1,766.97|1.42|6.92|10.97
Andrew Yule & Co|21.95|30.42|819.89|0.07|0.28|1.09|759.69|177.65|112.88|7.54|53.72|3.71
Zuari Agro Chem.|180.30|341.40|4,156.70|6.69|7.24|3.41|758.34|449.84|3,246.42|0.75|89.43|8.21
Alkyl Amines|370.15|80.51|862.47|29.65|28.58|0.56|754.97|150.54|90.99|3.78|15.14|9.33
Kovai Medical|684.10|78.80|855.57|26.58|25.56|1.18|748.41|277.18|-2.95|4.18|18.51|9.21

Apcotex Industri|360.15|35.87|773.54|33.70|30.11|0.31|746.88|67.79|31.49|6.00|30.27|4.64
Steel Str. Wheel|480.25|122.08|1,276.61|7.87|11.86|1.82|745.45|571.44|328.85|1.83|12.19|9.56
Vipul Ltd|61.55|22.99|954.17|1.58|1.85|0.56|738.50|9.49|633.94|1.80|631.28|2.41
SE Investments|181.95|133.47|1,135.06|14.37|14.88|0.79|737.99|2.52|894.02|1.31|16.35|11.76
Electrost.Cast.|20.50|250.48|3,116.60|9.05|9.05|1.25|731.76|1,094.63|1,305.05|0.36|12.41|8.04
Balaji Telefilms|96.35|18.78|720.68|-1.69|-2.48|0.00|731.59|22.35|111.58|1.90|260.34|2.61
TTK Healthcare|941.70|38.87|693.15|24.25|20.53|0.29|731.32|51.88|55.84|5.55|32.27|5.61
MEP Infrast.|44.95|424.93|3,750.13|17.08|16.97|30.37|730.75|2,155.93|235.00|7.22|27.75|11.33
Lycos Internet|15.25|616.03|764.63|46.75|52.09|0.06|726.28|273.87|915.21|0.38|1.79|80.57
Vindhya Telelink|612.75|168.70|1,026.30|24.03|33.70|1.03|726.11|54.14|379.14|1.95|9.02|16.44
Hubtown|99.25|316.72|1,970.55|25.83|43.75|0.74|721.94|23.71|637.45|0.42|33.89|16.07

Surya Roshni|164.55|181.44|1,642.51|9.71|10.51|1.50|721.22|911.86|772.04|1.04|11.62|11.05
Munjal Showa|178.85|87.97|713.84|33.42|27.52|0.00|715.40|232.92|92.96|1.52|11.70|12.32
Capital Trust|487.45|51.66|767.18|37.80|65.36|4.17|714.97|0.61|78.17|15.97|27.70|6.73
Punj Lloyd|21.50|-726.34|5,737.20|-8.18|-12.10|1.63|714.02|1,510.11|5,687.89|0.46|NaN|-12.66
Oswal Green Tech|27.75|51.25|611.34|1.36|2.26|0.00|712.65|130.41|1,700.74|0.33|15.80|8.38
HEG|178.30|49.39|1,625.59|6.21|2.97|0.97|712.49|940.57|614.35|0.77|12.96|3.04
Deccan Cements|1,017.50|95.80|876.80|10.26|22.14|0.78|712.25|373.06|70.08|2.45|15.63|10.93
Tasty Bite Eat.|2,709.15|26.97|733.49|21.74|30.17|0.98|696.25|63.57|27.00|11.55|43.19|3.68
Grauer & Weil|30.60|61.90|708.94|19.51|19.39|0.11|693.70|215.57|81.94|2.76|16.36|8.73
Elecon Engg.Co|63.65|120.03|1,278.62|7.93|6.88|1.10|693.47|523.09|742.30|1.23|18.15|9.39
Nucleus Soft.|213.95|44.51|669.07|8.38|9.78|0.00|692.85|58.16|135.61|1.52|21.40|6.65

Modi Udyog Ltd|229.10|2.13|692.79|5.94|177.50|0.00|692.80|0.00|1.20|22.04|468.12|0.31
Kirloskar Indus.|710.10|147.11|NaN|14.76|15.05|0.17|689.51|553.38|74.74|0.91|10.97|NaN
Electrosteel St.|2.85|198.78|10,668.43|-5.25|-2.16|9.37|686.63|3,733.12|-338.95|0.90|NaN|1.86
Astec Life|352.35|-4.92|810.86|-3.73|-3.03|1.08|686.47|127.23|96.56|5.86|NaN|-0.61
S T C|113.85|174.81|2,010.73|-3.52|4.81|9.43|683.10|62.43|1,553.39|4.29|24.06|8.69
Andhra Sugars|251.75|100.73|984.20|2.57|10.57|0.59|682.49|466.94|327.69|1.12|12.47|10.23
Balmer Law. Inv.|304.95|37.65|600.54|81.17|61.88|0.00|676.99|0.00|50.31|5.71|19.00|6.27
Lumax Inds.|720.95|55.04|815.35|7.52|15.93|0.92|674.09|384.84|-77.05|3.21|18.04|6.75
Centum Electron|528.85|39.94|702.24|12.66|12.01|0.43|672.07|72.29|189.96|3.51|25.58|5.69
Esteem Bio Org.|26.80|1.30|665.47|3.33|2.74|0.01|666.34|12.22|21.95|17.31|541.41|0.20
Oriental Carbon|646.65|71.10|734.58|26.60|26.90|0.25|665.79|187.58|60.35|2.33|12.56|9.68

Subex|13.10|88.95|1,339.50|7.74|-2.33|3.47|664.05|862.40|141.71|2.48|18.12|6.64
Cosmo Films|341.00|154.22|NaN|8.56|18.60|1.29|662.90|636.97|203.89|1.39|6.53|NaN
Nandan Denim|137.50|129.30|1,112.36|15.74|18.03|1.82|660.67|452.35|257.43|2.05|10.43|11.62
Bengal & Assam|759.35|157.94|1,062.00|28.05|28.24|0.32|659.39|375.67|108.49|0.51|3.80|14.87
Disa India|4,350.00|16.53|655.60|22.64|10.30|0.00|656.85|22.85|75.38|6.05|61.97|2.52
Talwal.Better|221.10|98.14|867.35|19.83|23.28|0.96|656.77|373.88|23.50|2.07|12.29|11.31
HPC Biosci.|41.00|0.51|653.51|2.47|2.02|0.00|654.36|9.53|17.19|21.75|1,423.61|0.08
Phillips Carbon|189.80|127.95|1,626.50|8.05|8.96|1.95|654.24|820.46|427.60|1.25|28.62|7.87
Rel. Indl. Infra|433.15|18.47|651.67|10.07|7.64|0.00|654.06|111.22|-18.14|2.52|45.71|2.83
Jindal Stain.|16.30|441.42|11,498.83|-0.95|3.76|-62.97|651.14|9,437.63|3,500.53|NaN|NaN|3.84
R Systems Intl.|51.30|127.99|573.49|27.51|30.24|0.01|650.85|69.58|126.08|2.60|12.20|22.32

Venky's (India)|462.00|130.78|1,390.56|7.67|10.46|2.05|650.83|434.89|432.61|1.62|21.80|9.40
The Byke Hospi.|162.25|41.18|660.72|27.89|39.45|0.12|650.59|78.43|24.95|5.16|25.07|6.23
Adlabs Entert.|81.30|-30.85|1,640.21|-2.98|-3.28|1.64|649.57|1,342.61|127.69|1.05|NaN|-1.88
Guj NRE Coke|4.00|-907.16|3,652.23|-8.34|-33.94|3.04|647.78|898.80|2,039.81|3.47|NaN|-24.84
Intrasoft Tech.|437.35|45.84|635.74|7.40|15.45|0.05|644.22|18.45|32.10|5.32|89.72|7.21
AXISCADES Engg.|236.80|46.60|654.07|24.07|31.57|0.21|643.85|33.56|92.95|4.18|22.23|7.12
MT Educare|159.90|48.26|629.47|68.25|103.14|0.04|636.73|85.49|-8.16|4.11|21.78|7.67
Sandesh|840.40|125.38|625.32|46.59|61.51|0.02|636.18|68.47|120.36|1.19|7.89|20.05
DCW|28.95|86.89|1,412.74|1.71|16.93|1.41|635.98|661.27|-137.65|1.11|34.26|6.15
Mukand|44.90|279.26|3,162.38|5.93|6.06|5.57|634.91|2,485.94|1,833.24|1.38|389.42|8.83
Mangalore Chem.|53.20|-136.37|1,713.23|7.75|-9.54|1.88|630.53|497.41|925.05|1.84|16.12|-7.96

Gammon India|17.05|4.32|11,435.78|-0.60|-0.52|-25.56|630.12|4,598.83|3,046.62|NaN|NaN|0.04
Guj. Borosil|92.10|22.04|648.16|15.16|15.79|0.40|628.12|108.05|32.41|12.01|51.70|3.40
Sasken Comm.Tec.|352.75|289.73|607.42|-17.94|-29.01|0.00|625.07|42.45|44.61|1.25|15.73|47.70
Orissa Sponge|230.90|-12.85|836.23|-11.85|-8.85|-2.35|623.43|331.93|-100.58|NaN|NaN|-1.54
Ashapura Minech.|71.55|218.32|810.44|NaN|-270.30|-1.30|622.39|281.92|-403.52|34.35|4.29|26.94
Vivimed Labs.|76.80|181.52|1,602.34|10.50|11.91|2.04|622.23|807.92|710.18|1.08|7.44|11.33
Amrutanjan Healt|424.40|34.64|589.67|33.53|43.31|0.00|620.27|14.71|54.15|4.87|27.67|5.87
India Motor Part|744.65|37.69|577.22|25.08|22.39|0.07|619.55|8.88|124.59|2.58|23.04|6.53
GTL Infra.|2.65|-52.59|5,539.10|-3.91|-1.86|11.10|619.14|3,542.61|153.57|NaN|NaN|-0.95
Hester Bios|725.10|28.52|650.68|27.15|25.05|0.39|616.83|56.53|47.49|6.15|32.08|4.38
Setco Automotive|45.90|71.65|820.71|16.89|20.94|1.23|613.21|120.31|145.16|2.97|18.45|8.73

Zen Technologies|78.95|5.02|611.29|14.52|-0.30|0.36|609.18|48.80|99.30|5.37|262.55|0.82
Marathon Nextgen|213.70|110.39|603.49|NaN|163.18|0.00|607.71|1.22|-5.65|0.99|8.06|18.29
Ruby Mills|361.45|63.10|1,117.83|10.51|12.88|1.57|604.34|169.82|210.44|1.63|14.82|5.64
Bhartiya Intl.|513.50|35.70|776.94|11.70|11.65|1.20|601.51|56.09|224.19|3.43|40.73|4.59
Kalyani Invest.|1,375.20|26.43|600.81|NaN|855.90|0.00|600.96|1.01|-2.53|1.77|15.56|4.40
MBL Infrast|144.50|225.30|NaN|20.52|18.02|1.68|599.02|213.85|998.52|0.80|6.78|NaN
TCPL Packaging|685.70|75.35|830.19|23.43|20.92|1.63|596.56|227.93|78.31|4.12|15.58|9.08
Rushil Decor|414.20|29.70|707.22|7.60|15.27|1.59|596.45|154.58|51.04|7.35|83.42|4.20
Pennar Engg.Bld.|174.00|60.47|NaN|NaN|NaN|NaN|596.38|NaN|NaN|NaN|19.77|NaN
IL&FS Engg.|49.20|115.54|2,497.75|21.29|-2.70|13.48|596.10|169.15|674.39|NaN|346.48|4.63
Peninsula Land|21.05|82.31|2,353.25|-3.01|-2.99|1.23|587.72|53.56|1,401.57|0.40|NaN|3.50
Rico Auto Inds|43.40|61.45|770.47|-31.03|9.38|0.41|587.20|672.19|104.87|1.22|18.25|7.98

Plastiblends (I)|451.00|55.43|666.12|23.02|19.07|0.45|586.30|72.90|127.09|3.18|15.56|8.32
Alok Inds.|4.25|-3,093.60|15,838.86|17.75|-14.87|2.83|585.36|9,183.43|13,071.89|0.35|1.68|-19.53
Poddar Housing|923.45|22.11|581.41|30.32|23.34|0.00|583.20|3.52|48.78|2.63|37.38|3.80
SKIL Infrastr|26.90|-155.54|2,854.69|-3.13|-48.81|0.69|582.58|226.95|100.27|0.20|NaN|-5.45
Ashapura Inti.|298.45|24.64|637.34|20.83|21.82|1.20|581.00|9.08|98.51|9.43|46.89|3.87
Hind.Composites|1,173.45|46.73|580.98|-7.19|31.36|0.01|577.34|114.05|32.26|0.98|14.76|8.04
Nelcast|66.05|53.14|618.39|14.49|14.01|0.32|574.64|232.07|116.62|1.88|18.03|8.59
Ugar Sugar Works|51.05|43.60|757.30|1.87|13.14|2.30|574.31|159.20|94.96|6.09|50.87|5.76
Indian Terrain|152.55|43.92|605.42|32.26|38.46|0.31|568.57|7.94|94.12|3.57|17.22|7.25
NDTV|87.50|-47.33|NaN|-3.51|-14.97|2.54|564.16|111.32|294.11|29.28|NaN|NaN
Pokarna|909.75|102.73|NaN|17.93|27.73|5.47|564.12|258.66|110.48|5.41|8.21|NaN

Arrow Greentech|480.05|40.90|537.27|119.81|130.00|0.00|563.58|8.17|17.02|7.32|18.53|7.61
Pennar Inds.|46.70|132.45|750.91|17.68|21.20|0.51|562.03|267.71|327.05|1.33|12.68|17.64
Aplaya Creations|39.00|0.12|560.80|6.66|1.01|0.00|560.82|0.00|11.81|24.85|5,131.58|0.02
Sakthi Sugars|47.05|3.25|1,702.28|4.88|-3.23|70.03|559.18|1,159.65|-41.89|NaN|NaN|0.19
Dec.Gold Mines|61.80|-6.90|NaN|NaN|254.39|0.00|558.22|0.06|-2.91|NaN|NaN|NaN
IL&FS Inv.Manag.|17.75|74.77|453.30|30.29|25.28|0.00|557.41|141.77|130.51|1.41|9.94|16.49
